transaction_id,employer_id,jobseeker_id,revenue_type,amount,transaction_date
T10045,EMP10094,,Employer Contract,44212,2025-01-27
T10046,EMP10260,,Employer Contract,14422,2024-09-01
T10047,EMP10301,,Subscription,2296,2024-08-15
T10048,EMP10326,,Training Program Fee,3572,2025-02-01
T10049,EMP10325,,Training Program Fee,1243,2024-09-02
T10050,EMP10400,JS14939,Employer Contract,37788,2024-09-18
T10051,EMP10015,JS11130,Training Program Fee,3265,2024-04-07
T10052,EMP10489,,Training Program Fee,1388,2024-10-27
T10053,EMP10496,,Training Program Fee,4957,2024-05-03
T10054,EMP10494,JS12195,Training Program Fee,2287,2024-12-09
T10055,EMP10063,,Employer Contract,22137,2025-01-08
T10056,EMP10439,JS11300,Employer Contract,30368,2025-02-13
T10057,EMP10250,,Subscription,2290,2025-01-20
T10058,EMP10376,,Job Placement Fee,4110,2024-11-24
T10059,EMP10452,,Training Program Fee,1140,2024-10-13
T10060,EMP10408,,Training Program Fee,641,2024-10-11
T10061,EMP10195,,Employer Contract,25072,2024-11-01
T10062,EMP10301,JS15079,Training Program Fee,1867,2024-05-02
T10063,EMP10469,,Employer Contract,15016,2025-01-01
T10064,EMP10481,JS19788,Training Program Fee,4888,2024-03-23
T10065,EMP10237,,Employer Contract,23229,2025-02-13
T10066,EMP10040,JS14795,Job Placement Fee,4152,2024-06-07
T10067,EMP10499,,Subscription,1849,2024-04-02
T10068,EMP10431,JS17240,Training Program Fee,537,2025-03-04
T10069,EMP10455,JS12734,Job Placement Fee,8825,2024-05-10
T10070,EMP10389,JS19200,Subscription,1124,2024-10-03
T10071,EMP10457,,Training Program Fee,1710,2024-08-30
T10072,EMP10387,,Employer Contract,13663,2024-07-13
T10073,EMP10041,JS12832,Job Placement Fee,2719,2025-01-17
T10074,EMP10401,JS10565,Subscription,1495,2024-08-28
T10075,EMP10498,JS18497,Job Placement Fee,8677,2024-06-23
T10076,EMP10297,JS16010,Job Placement Fee,5724,2024-03-24
T10077,EMP10254,JS18251,Job Placement Fee,5529,2024-07-27
T10078,EMP10217,,Employer Contract,13663,2024-09-22
T10079,EMP10342,JS15926,Employer Contract,25292,2024-11-08
T10080,EMP10145,,Job Placement Fee,2411,2024-12-28
T10081,EMP10413,JS18079,Job Placement Fee,5375,2025-02-26
T10082,EMP10036,JS17494,Subscription,1650,2024-05-22
T10083,EMP10121,,Employer Contract,26978,2024-06-11
T10084,EMP10455,JS11534,Subscription,1192,2024-11-29
T10085,EMP10433,JS16671,Job Placement Fee,9239,2025-01-29
T10086,EMP10144,,Training Program Fee,1446,2024-03-16
T10087,EMP10262,JS12954,Training Program Fee,922,2024-05-31
T10088,EMP10484,JS14835,Employer Contract,49731,2024-08-20
T10089,EMP10075,JS19533,Employer Contract,37046,2024-03-16
T10090,EMP10413,,Subscription,1821,2024-08-04
T10091,EMP10325,JS16736,Job Placement Fee,2954,2024-08-28
T10092,EMP10277,JS10595,Job Placement Fee,2766,2024-09-16
T10093,EMP10430,JS19397,Training Program Fee,990,2024-10-02
T10094,EMP10482,,Subscription,1472,2024-09-14
T10095,EMP10229,,Subscription,1822,2024-04-23
T10096,EMP10166,JS17756,Job Placement Fee,6984,2024-10-27
T10097,EMP10174,,Employer Contract,41623,2025-02-12
T10098,EMP10086,,Training Program Fee,2673,2024-11-15
T10099,EMP10036,,Subscription,2662,2024-05-15
T10100,EMP10162,JS16304,Subscription,3000,2024-06-22
T10101,EMP10350,,Training Program Fee,4411,2024-12-31
T10102,EMP10077,,Training Program Fee,3322,2024-10-28
T10103,EMP10433,,Job Placement Fee,5262,2024-09-10
T10104,EMP10488,JS13589,Job Placement Fee,3281,2024-11-23
T10105,EMP10399,JS15896,Job Placement Fee,7428,2025-03-06
T10106,EMP10481,JS19925,Job Placement Fee,3430,2024-05-17
T10107,EMP10322,,Training Program Fee,2739,2024-08-04
T10108,EMP10270,,Subscription,1192,2024-07-14
T10109,EMP10113,,Job Placement Fee,2000,2024-07-21
T10110,EMP10099,,Job Placement Fee,5724,2024-12-27
T10111,EMP10241,,Job Placement Fee,2464,2025-02-15
T10112,EMP10463,,Training Program Fee,974,2024-09-07
T10113,EMP10485,,Employer Contract,48034,2024-04-04
T10114,EMP10119,,Employer Contract,49933,2024-05-23
T10115,EMP10473,,Training Program Fee,4773,2025-03-04
T10116,EMP10339,JS14094,Employer Contract,28061,2024-08-15
T10117,EMP10446,JS11860,Subscription,1786,2024-06-28
T10118,EMP10090,,Job Placement Fee,2074,2024-10-20
T10119,EMP10099,,Training Program Fee,3702,2025-01-31
T10120,EMP10102,JS15638,Subscription,2909,2024-08-18
T10121,EMP10389,,Job Placement Fee,4713,2024-09-12
T10122,EMP10033,,Job Placement Fee,9704,2024-06-19
T10123,EMP10377,,Subscription,2798,2024-12-07
T10124,EMP10454,,Training Program Fee,3996,2024-07-30
T10125,EMP10272,JS11046,Employer Contract,29847,2024-04-16
T10126,EMP10205,JS15823,Employer Contract,39374,2024-12-05
T10127,EMP10181,,Job Placement Fee,2504,2024-12-25
T10128,EMP10461,JS12227,Subscription,2773,2024-07-09
T10129,EMP10222,,Subscription,1634,2024-07-11
T10130,EMP10439,,Subscription,1653,2024-06-07
T10131,EMP10230,,Employer Contract,44300,2024-09-02
T10132,EMP10307,,Training Program Fee,3554,2024-07-27
T10133,EMP10181,JS11601,Subscription,1706,2025-01-02
T10134,EMP10105,,Subscription,2162,2024-05-19
T10135,EMP10130,JS14121,Job Placement Fee,2538,2024-07-27
T10136,EMP10344,,Employer Contract,46131,2024-08-30
T10137,EMP10388,JS16834,Employer Contract,47856,2024-12-15
T10138,EMP10422,JS12617,Employer Contract,26785,2024-07-05
T10139,EMP10171,,Training Program Fee,4839,2025-01-18
T10140,EMP10098,,Training Program Fee,2747,2024-07-04
T10141,EMP10015,,Training Program Fee,2042,2024-11-29
T10142,EMP10017,,Job Placement Fee,3117,2025-01-19
T10143,EMP10084,,Employer Contract,22750,2025-01-24
T10144,EMP10318,JS15128,Job Placement Fee,2876,2024-09-28
T10145,EMP10025,JS14045,Employer Contract,17611,2024-10-03
T10146,EMP10160,,Job Placement Fee,2505,2024-05-06
T10147,EMP10454,,Job Placement Fee,2995,2025-02-06
T10148,EMP10229,,Employer Contract,16396,2024-07-14
T10149,EMP10293,JS18347,Training Program Fee,1650,2024-05-04
T10150,EMP10153,,Job Placement Fee,2916,2024-12-15
T10151,EMP10208,,Subscription,2815,2024-08-20
T10152,EMP10361,,Subscription,1063,2024-11-20
T10153,EMP10352,,Employer Contract,14188,2025-02-01
T10154,EMP10038,,Training Program Fee,2945,2024-10-31
T10155,EMP10372,JS19131,Subscription,1948,2024-10-19
T10156,EMP10215,JS17735,Employer Contract,35510,2024-03-29
T10157,EMP10228,,Job Placement Fee,7692,2024-12-10
T10158,EMP10462,JS11933,Subscription,2726,2024-04-23
T10159,EMP10286,JS19600,Training Program Fee,4462,2025-01-22
T10160,EMP10312,,Job Placement Fee,5312,2024-09-29
T10161,EMP10382,,Employer Contract,35789,2024-07-30
T10162,EMP10150,JS18186,Training Program Fee,2966,2024-04-20
T10163,EMP10189,,Subscription,1390,2024-12-31
T10164,EMP10349,,Subscription,1395,2025-03-05
T10165,EMP10050,JS13525,Employer Contract,28896,2024-04-20
T10166,EMP10375,,Employer Contract,46807,2025-01-23
T10167,EMP10197,JS15239,Subscription,2624,2024-04-23
T10168,EMP10493,,Employer Contract,24705,2024-07-11
T10169,EMP10062,JS18789,Job Placement Fee,9154,2024-12-21
T10170,EMP10384,JS16328,Job Placement Fee,3662,2024-08-26
T10171,EMP10218,,Training Program Fee,2429,2024-09-11
T10172,EMP10341,,Job Placement Fee,7803,2025-02-20
T10173,EMP10151,,Job Placement Fee,9003,2024-06-15
T10174,EMP10267,,Subscription,2398,2025-01-10
T10175,EMP10478,,Employer Contract,12198,2024-06-09
T10176,EMP10243,JS18661,Job Placement Fee,8209,2024-10-08
T10177,EMP10369,JS17827,Subscription,1209,2025-02-09
T10178,EMP10404,,Job Placement Fee,6429,2024-07-22
T10179,EMP10413,JS11333,Employer Contract,20467,2024-04-08
T10180,EMP10253,JS11737,Job Placement Fee,4940,2024-07-13
T10181,EMP10379,,Subscription,1658,2024-09-05
T10182,EMP10362,JS13350,Subscription,1169,2024-08-24
T10183,EMP10440,,Training Program Fee,2034,2024-06-30
T10184,EMP10019,JS16517,Training Program Fee,1833,2024-12-21
T10185,EMP10434,JS16346,Training Program Fee,4648,2024-08-21
T10186,EMP10049,,Subscription,2153,2024-09-19
T10187,EMP10321,,Job Placement Fee,8550,2024-03-25
T10188,EMP10054,,Training Program Fee,715,2024-11-18
T10189,EMP10246,JS16890,Subscription,1184,2024-08-01
T10190,EMP10413,,Subscription,1937,2024-04-03
T10191,EMP10465,JS17203,Subscription,2611,2024-11-22
T10192,EMP10307,JS11102,Subscription,1354,2024-08-18
T10193,EMP10207,JS11550,Employer Contract,14201,2024-12-27
T10194,EMP10224,,Training Program Fee,3834,2025-02-10
T10195,EMP10342,,Subscription,1084,2025-02-02
T10196,EMP10028,JS12648,Job Placement Fee,8632,2024-10-03
T10197,EMP10071,JS12304,Job Placement Fee,8648,2024-03-14
T10198,EMP10183,JS17278,Job Placement Fee,6970,2024-11-02
T10199,EMP10436,JS12519,Subscription,1448,2024-10-08
T10200,EMP10056,,Subscription,1416,2024-05-28
T10201,EMP10430,JS19298,Training Program Fee,2620,2024-09-22
T10202,EMP10074,JS18513,Subscription,2505,2024-12-21
T10203,EMP10048,,Employer Contract,10612,2024-05-31
T10204,EMP10167,JS15712,Job Placement Fee,3048,2024-04-06
T10205,EMP10009,JS12076,Subscription,2049,2025-02-07
T10206,EMP10423,JS14079,Subscription,1025,2024-10-23
T10207,EMP10450,JS18229,Subscription,1991,2024-06-05
T10208,EMP10052,,Employer Contract,44495,2024-06-19
T10209,EMP10388,,Training Program Fee,4535,2024-08-26
T10210,EMP10287,,Training Program Fee,3428,2024-07-14
T10211,EMP10308,,Training Program Fee,1128,2024-12-08
T10212,EMP10305,JS19473,Training Program Fee,3938,2024-04-03
T10213,EMP10259,JS14358,Training Program Fee,1463,2024-05-18
T10214,EMP10163,JS12190,Subscription,1136,2024-12-30
T10215,EMP10208,,Job Placement Fee,7929,2024-09-15
T10216,EMP10070,,Training Program Fee,4425,2024-07-13
T10217,EMP10252,JS15758,Training Program Fee,2243,2024-09-24
T10218,EMP10254,JS17654,Training Program Fee,1784,2024-08-24
T10219,EMP10218,,Employer Contract,20615,2024-03-31
T10220,EMP10226,,Subscription,1906,2024-06-15
T10221,EMP10110,JS14295,Training Program Fee,2155,2025-03-03
T10222,EMP10176,,Subscription,2382,2024-11-08
T10223,EMP10317,,Training Program Fee,2815,2024-07-05
T10224,EMP10020,,Subscription,1148,2024-12-25
T10225,EMP10361,,Subscription,1290,2024-12-25
T10226,EMP10396,,Subscription,1892,2025-02-23
T10227,EMP10134,JS15040,Subscription,1057,2024-07-22
T10228,EMP10331,JS14112,Job Placement Fee,3879,2024-08-04
T10229,EMP10041,,Subscription,1822,2024-05-28
T10230,EMP10203,,Job Placement Fee,7932,2024-12-03
T10231,EMP10080,,Subscription,1293,2024-06-12
T10232,EMP10318,JS11928,Training Program Fee,3405,2025-02-05
T10233,EMP10451,JS19847,Job Placement Fee,2623,2024-05-30
T10234,EMP10339,JS18526,Job Placement Fee,5295,2025-01-06
T10235,EMP10286,JS17031,Employer Contract,48904,2024-10-06
T10236,EMP10431,,Job Placement Fee,9873,2024-10-21
T10237,EMP10106,,Training Program Fee,1705,2024-05-08
T10238,EMP10223,JS13716,Subscription,1660,2024-06-13
T10239,EMP10012,JS14816,Training Program Fee,1761,2024-07-05
T10240,EMP10494,JS16871,Job Placement Fee,9971,2024-11-08
T10241,EMP10083,JS14491,Subscription,2933,2025-02-17
T10242,EMP10362,,Employer Contract,13644,2024-07-28
T10243,EMP10194,,Training Program Fee,4202,2024-05-03
T10244,EMP10421,JS14242,Employer Contract,44427,2024-06-27
T10245,EMP10250,,Job Placement Fee,8531,2025-01-03
T10246,EMP10074,JS10299,Subscription,2307,2024-07-13
T10247,EMP10409,JS15379,Subscription,1626,2024-09-02
T10248,EMP10022,,Subscription,1921,2024-03-31
T10249,EMP10488,JS16108,Subscription,2014,2024-07-20
T10250,EMP10315,JS12149,Employer Contract,11480,2024-04-09
T10251,EMP10327,,Employer Contract,16525,2024-07-12
T10252,EMP10163,,Employer Contract,11111,2025-02-09
T10253,EMP10235,JS16796,Employer Contract,30065,2025-02-16
T10254,EMP10298,JS14058,Training Program Fee,1285,2025-02-13
T10255,EMP10157,,Job Placement Fee,6670,2024-07-19
T10256,EMP10203,JS14514,Job Placement Fee,9025,2024-12-16
T10257,EMP10146,,Subscription,1749,2024-09-09
T10258,EMP10150,,Job Placement Fee,6839,2025-02-05
T10259,EMP10039,,Subscription,1103,2024-10-03
T10260,EMP10026,,Training Program Fee,1743,2025-03-10
T10261,EMP10221,,Employer Contract,37655,2024-11-13
T10262,EMP10255,,Training Program Fee,3940,2024-05-01
T10263,EMP10194,JS13758,Employer Contract,16372,2024-08-14
T10264,EMP10461,JS18900,Job Placement Fee,8956,2024-05-24
T10265,EMP10156,,Job Placement Fee,6400,2024-10-04
T10266,EMP10315,,Subscription,1738,2024-10-08
T10267,EMP10498,,Subscription,1211,2024-03-13
T10268,EMP10154,JS12491,Job Placement Fee,7668,2025-01-24
T10269,EMP10040,,Training Program Fee,3624,2024-11-14
T10270,EMP10278,JS15938,Subscription,1563,2024-05-28
T10271,EMP10047,JS12846,Subscription,1877,2025-01-17
T10272,EMP10251,JS14107,Employer Contract,30205,2024-05-14
T10273,EMP10480,JS11164,Subscription,2156,2024-06-23
T10274,EMP10153,,Training Program Fee,924,2024-11-29
T10275,EMP10132,JS10857,Subscription,1287,2024-12-22
T10276,EMP10368,,Training Program Fee,3100,2025-02-13
T10277,EMP10375,,Subscription,1206,2025-02-26
T10278,EMP10146,JS10518,Training Program Fee,1186,2024-05-06
T10279,EMP10307,JS12994,Job Placement Fee,3233,2024-09-07
T10280,EMP10173,,Employer Contract,25018,2024-04-14
T10281,EMP10492,JS12208,Employer Contract,17817,2024-08-04
T10282,EMP10086,,Subscription,1825,2024-04-22
T10283,EMP10359,JS10743,Subscription,2150,2024-11-24
T10284,EMP10463,JS16758,Job Placement Fee,8902,2024-10-01
T10285,EMP10448,,Job Placement Fee,7800,2024-12-26
T10286,EMP10078,,Employer Contract,29906,2024-11-26
T10287,EMP10036,JS11264,Job Placement Fee,7212,2024-08-09
T10288,EMP10068,JS15878,Job Placement Fee,3267,2025-01-05
T10289,EMP10404,JS11474,Employer Contract,34212,2024-05-12
T10290,EMP10452,,Training Program Fee,4298,2024-12-13
T10291,EMP10480,,Job Placement Fee,7288,2025-03-07
T10292,EMP10141,JS10849,Employer Contract,33451,2024-12-03
T10293,EMP10070,,Subscription,1832,2024-09-25
T10294,EMP10150,,Job Placement Fee,8604,2025-02-27
T10295,EMP10491,,Job Placement Fee,7798,2024-11-11
T10296,EMP10352,JS15249,Training Program Fee,3618,2024-08-04
T10297,EMP10015,JS11791,Employer Contract,29217,2024-10-22
T10298,EMP10378,,Employer Contract,16147,2025-03-09
T10299,EMP10448,JS12381,Job Placement Fee,2864,2024-09-06
T10300,EMP10066,JS11273,Employer Contract,27179,2024-12-21
T10301,EMP10288,,Training Program Fee,3902,2024-06-16
T10302,EMP10219,,Training Program Fee,3101,2024-09-13
T10303,EMP10190,JS18924,Employer Contract,46937,2024-08-20
T10304,EMP10363,,Subscription,1674,2024-12-16
T10305,EMP10425,,Training Program Fee,3874,2025-01-17
T10306,EMP10179,,Subscription,1077,2024-05-19
T10307,EMP10426,JS16726,Training Program Fee,4790,2025-02-20
T10308,EMP10361,JS13160,Training Program Fee,766,2024-06-02
T10309,EMP10366,,Job Placement Fee,7785,2024-11-11
T10310,EMP10048,JS19755,Subscription,1364,2024-09-09
T10311,EMP10317,,Employer Contract,38418,2024-03-20
T10312,EMP10047,JS11525,Employer Contract,16702,2024-05-31
T10313,EMP10005,,Job Placement Fee,3667,2024-12-01
T10314,EMP10256,JS19369,Training Program Fee,1516,2024-10-13
T10315,EMP10413,JS10148,Subscription,2901,2024-07-22
T10316,EMP10317,,Subscription,1074,2024-11-18
T10317,EMP10026,,Subscription,1955,2024-06-27
T10318,EMP10437,,Subscription,2895,2024-09-09
T10319,EMP10048,JS15416,Subscription,1283,2024-10-14
T10320,EMP10356,JS14653,Subscription,1852,2024-12-30
T10321,EMP10160,,Job Placement Fee,8034,2024-08-30
T10322,EMP10146,,Subscription,2044,2024-12-28
T10323,EMP10411,JS10113,Employer Contract,17870,2025-02-11
T10324,EMP10311,,Job Placement Fee,6804,2024-12-05
T10325,EMP10162,,Job Placement Fee,4934,2024-05-22
T10326,EMP10194,JS13526,Training Program Fee,3692,2024-08-18
T10327,EMP10434,,Subscription,2565,2024-10-01
T10328,EMP10426,JS15573,Job Placement Fee,2448,2024-04-17
T10329,EMP10121,JS14065,Job Placement Fee,6171,2024-10-18
T10330,EMP10242,,Training Program Fee,2358,2025-02-11
T10331,EMP10001,,Training Program Fee,2763,2024-05-23
T10332,EMP10213,JS17872,Subscription,2360,2025-03-02
T10333,EMP10322,,Subscription,2498,2024-04-27
T10334,EMP10003,JS14813,Job Placement Fee,2463,2025-01-14
T10335,EMP10263,JS11088,Job Placement Fee,5848,2024-11-03
T10336,EMP10338,JS19230,Subscription,2014,2024-05-10
T10337,EMP10089,JS18638,Employer Contract,33021,2024-05-19
T10338,EMP10060,JS17341,Job Placement Fee,9689,2024-12-17
T10339,EMP10105,JS14640,Job Placement Fee,5596,2024-10-19
T10340,EMP10418,,Job Placement Fee,2432,2024-06-27
T10341,EMP10121,,Employer Contract,42266,2024-04-15
T10342,EMP10499,,Employer Contract,44992,2025-01-04
T10343,EMP10118,,Employer Contract,48836,2025-01-13
T10344,EMP10145,JS17992,Employer Contract,42157,2024-12-12
T10345,EMP10193,JS13410,Subscription,2842,2024-05-18
T10346,EMP10288,,Training Program Fee,2007,2025-03-08
T10347,EMP10262,JS13359,Subscription,2914,2024-12-08
T10348,EMP10301,,Training Program Fee,2562,2024-06-05
T10349,EMP10348,JS11046,Employer Contract,18973,2024-05-04
T10350,EMP10184,JS11661,Subscription,1724,2024-09-25
T10351,EMP10486,JS14864,Training Program Fee,2363,2024-12-28
T10352,EMP10430,,Employer Contract,29330,2024-12-06
T10353,EMP10032,,Subscription,2167,2024-03-11
T10354,EMP10220,JS14521,Training Program Fee,3655,2025-02-10
T10355,EMP10442,,Training Program Fee,4236,2025-03-10
T10356,EMP10073,JS14039,Training Program Fee,802,2025-01-01
T10357,EMP10032,,Training Program Fee,1770,2025-02-06
T10358,EMP10144,,Job Placement Fee,2748,2024-08-10
T10359,EMP10245,JS16024,Employer Contract,22583,2024-05-22
T10360,EMP10222,,Training Program Fee,1422,2024-07-24
T10361,EMP10365,JS14768,Training Program Fee,1040,2024-06-12
T10362,EMP10054,JS11675,Training Program Fee,4050,2024-12-02
T10363,EMP10384,,Training Program Fee,3939,2024-10-22
T10364,EMP10208,,Subscription,1080,2024-06-16
T10365,EMP10243,JS16077,Employer Contract,16564,2025-02-10
T10366,EMP10121,JS13942,Subscription,2576,2024-12-20
T10367,EMP10280,,Subscription,1398,2024-04-16
T10368,EMP10172,,Job Placement Fee,3152,2025-02-27
T10369,EMP10117,JS17740,Employer Contract,34826,2024-09-21
T10370,EMP10392,JS15124,Training Program Fee,4313,2024-07-29
T10371,EMP10491,,Job Placement Fee,6976,2024-06-25
T10372,EMP10204,JS12550,Training Program Fee,3507,2024-07-21
T10373,EMP10214,JS15962,Job Placement Fee,5560,2024-07-31
T10374,EMP10015,,Job Placement Fee,3264,2024-06-27
T10375,EMP10033,,Job Placement Fee,4456,2024-04-05
T10376,EMP10137,JS13144,Job Placement Fee,4553,2025-02-01
T10377,EMP10171,,Job Placement Fee,4005,2024-10-06
T10378,EMP10071,JS14454,Job Placement Fee,4806,2024-11-04
T10379,EMP10132,JS13000,Training Program Fee,3481,2024-05-13
T10380,EMP10191,,Training Program Fee,4590,2024-07-12
T10381,EMP10038,,Training Program Fee,577,2024-10-06
T10382,EMP10243,JS11282,Job Placement Fee,4405,2025-02-22
T10383,EMP10348,,Training Program Fee,4488,2024-10-02
T10384,EMP10263,,Training Program Fee,4629,2025-02-18
T10385,EMP10459,JS13153,Job Placement Fee,8207,2025-03-04
T10386,EMP10086,,Job Placement Fee,9421,2025-03-01
T10387,EMP10324,JS10938,Employer Contract,10783,2024-06-11
T10388,EMP10465,,Job Placement Fee,8045,2024-04-13
T10389,EMP10299,,Training Program Fee,3964,2024-06-20
T10390,EMP10280,,Job Placement Fee,2542,2025-01-02
T10391,EMP10243,JS16023,Job Placement Fee,6367,2024-03-12
T10392,EMP10446,JS17637,Employer Contract,26973,2024-03-30
T10393,EMP10411,JS10990,Employer Contract,26616,2025-02-19
T10394,EMP10354,,Job Placement Fee,9982,2024-06-09
T10395,EMP10495,,Training Program Fee,1838,2024-07-23
T10396,EMP10367,,Employer Contract,48214,2024-08-14
T10397,EMP10097,JS17246,Training Program Fee,2933,2024-06-06
T10398,EMP10327,JS15882,Job Placement Fee,9201,2024-03-21
T10399,EMP10495,JS19471,Training Program Fee,2995,2024-05-28
T10400,EMP10249,JS14588,Employer Contract,22012,2025-02-25
T10401,EMP10366,,Training Program Fee,3114,2025-03-01
T10402,EMP10104,,Subscription,2322,2024-05-11
T10403,EMP10153,,Training Program Fee,3868,2024-09-23
T10404,EMP10392,JS16232,Employer Contract,45939,2024-05-08
T10405,EMP10132,JS15636,Job Placement Fee,4348,2024-08-25
T10406,EMP10185,,Subscription,1275,2024-09-11
T10407,EMP10201,JS15617,Training Program Fee,4622,2024-05-24
T10408,EMP10492,JS15817,Employer Contract,45484,2024-07-15
T10409,EMP10259,JS19365,Job Placement Fee,8014,2024-11-25
T10410,EMP10467,,Job Placement Fee,3800,2024-07-06
T10411,EMP10482,JS17524,Employer Contract,27924,2025-02-12
T10412,EMP10384,,Employer Contract,46363,2024-11-03
T10413,EMP10173,JS19957,Job Placement Fee,3013,2024-03-14
T10414,EMP10389,,Job Placement Fee,3827,2024-07-08
T10415,EMP10454,JS18732,Training Program Fee,1686,2024-08-31
T10416,EMP10380,,Job Placement Fee,9367,2024-10-22
T10417,EMP10097,JS16993,Job Placement Fee,9313,2025-01-20
T10418,EMP10476,,Subscription,1859,2024-12-29
T10419,EMP10072,JS11499,Subscription,1423,2024-10-09
T10420,EMP10435,,Job Placement Fee,3212,2024-08-05
T10421,EMP10410,,Training Program Fee,2289,2024-07-28
T10422,EMP10049,JS15339,Training Program Fee,4600,2024-08-30
T10423,EMP10049,JS10906,Subscription,1580,2024-04-18
T10424,EMP10415,,Subscription,1154,2024-08-23
T10425,EMP10466,JS14191,Employer Contract,12431,2025-01-26
T10426,EMP10142,,Job Placement Fee,2469,2025-01-13
T10427,EMP10280,,Subscription,1840,2024-09-22
T10428,EMP10171,,Job Placement Fee,4576,2024-10-23
T10429,EMP10439,JS14066,Subscription,1318,2024-12-13
T10430,EMP10075,,Training Program Fee,2473,2024-08-27
T10431,EMP10484,,Training Program Fee,3653,2024-11-20
T10432,EMP10143,,Employer Contract,27531,2024-05-04
T10433,EMP10293,,Subscription,2897,2024-04-15
T10434,EMP10186,,Training Program Fee,623,2024-05-25
T10435,EMP10187,JS19135,Employer Contract,13369,2024-05-07
T10436,EMP10242,,Training Program Fee,3516,2025-01-07
T10437,EMP10240,,Subscription,1378,2024-12-23
T10438,EMP10341,,Job Placement Fee,9117,2025-01-13
T10439,EMP10249,,Training Program Fee,3901,2024-07-31
T10440,EMP10313,JS13055,Training Program Fee,1559,2024-04-03
T10441,EMP10021,,Subscription,1855,2024-09-30
T10442,EMP10075,JS12185,Employer Contract,12196,2024-08-20
T10443,EMP10252,JS12217,Job Placement Fee,2102,2024-05-17
T10444,EMP10441,,Job Placement Fee,5896,2025-02-04
T10445,EMP10189,,Training Program Fee,1567,2024-10-06
T10446,EMP10075,JS15119,Employer Contract,48844,2024-08-16
T10447,EMP10318,JS11038,Subscription,2052,2025-02-26
T10448,EMP10455,JS17713,Subscription,1420,2024-10-05
T10449,EMP10141,JS15755,Training Program Fee,4924,2024-07-10
T10450,EMP10204,,Subscription,1899,2024-08-07
T10451,EMP10236,,Training Program Fee,4438,2024-07-02
T10452,EMP10461,,Training Program Fee,4123,2024-11-08
T10453,EMP10292,,Subscription,2684,2024-05-31
T10454,EMP10073,,Job Placement Fee,3662,2024-07-04
T10455,EMP10212,JS12008,Employer Contract,36486,2024-08-28
T10456,EMP10382,JS10542,Job Placement Fee,3526,2024-08-08
T10457,EMP10100,,Subscription,2077,2024-03-30
T10458,EMP10075,,Training Program Fee,2726,2024-12-02
T10459,EMP10464,,Subscription,2915,2024-11-30
T10460,EMP10019,,Training Program Fee,3007,2024-09-30
T10461,EMP10025,JS16162,Training Program Fee,3519,2025-01-25
T10462,EMP10349,JS15119,Employer Contract,14799,2025-02-13
