application_id,jobseeker_id,job_role,industry,employer_id,application_date,status
A10097,JS12194,Data Analyst,IT,EMP10034,2024-09-27,Accepted
A10098,JS15960,Pharmacist,Healthcare,EMP10487,2024-12-19,Accepted
A10099,JS17457,Sales Associate,Retail,EMP10003,2024-08-04,Rejected
A10100,JS12000,Sales Associate,Retail,EMP10187,2024-03-16,Rejected
A10101,JS13568,Financial Analyst,Finance,EMP10034,2024-07-07,Pending
A10102,JS14765,Librarian,Education,EMP10311,2024-12-05,Rejected
A10103,JS17590,Investment Banker,Finance,EMP10279,2024-05-22,Accepted
A10104,JS15859,Brand Manager,Marketing,EMP10013,2024-09-15,Rejected
A10105,JS10853,Academic Counselor,Education,EMP10421,2024-09-23,Rejected
A10106,JS10500,Sales Associate,Retail,EMP10274,2024-08-02,Rejected
A10107,JS14223,Teacher,Education,EMP10385,2024-12-08,Accepted
A10108,JS18097,Financial Analyst,Finance,EMP10096,2024-09-19,Pending
A10109,JS11542,Software Engineer,IT,EMP10320,2025-01-13,Rejected
A10110,JS13186,Pharmacist,Healthcare,EMP10492,2025-01-15,Rejected
A10111,JS11619,Nurse,Healthcare,EMP10346,2024-04-21,Accepted
A10112,JS12757,Quality Engineer,Manufacturing,EMP10063,2024-12-27,Accepted
A10113,JS15650,Supply Chain Analyst,Manufacturing,EMP10046,2024-04-02,Rejected
A10114,JS18490,Librarian,Education,EMP10084,2024-06-14,Rejected
A10115,JS13738,Medical Assistant,Healthcare,EMP10246,2024-08-21,Rejected
A10116,JS19050,Brand Manager,Marketing,EMP10420,2024-11-18,Rejected
A10117,JS14281,Production Manager,Manufacturing,EMP10498,2024-05-24,Rejected
A10118,JS18482,Software Engineer,IT,EMP10141,2024-11-12,Accepted
A10119,JS17901,Quality Engineer,Manufacturing,EMP10484,2024-03-15,Accepted
A10120,JS17370,Cybersecurity Specialist,IT,EMP10330,2024-07-28,Rejected
A10121,JS18309,Software Engineer,IT,EMP10435,2024-08-04,Accepted
A10122,JS15601,Librarian,Education,EMP10441,2024-10-29,Accepted
A10123,JS17569,Supply Chain Analyst,Manufacturing,EMP10171,2024-07-18,Pending
A10124,JS12749,Financial Analyst,Finance,EMP10006,2024-11-18,Rejected
A10125,JS18739,Pharmacist,Healthcare,EMP10041,2024-11-18,Accepted
A10126,JS19869,Supply Chain Analyst,Manufacturing,EMP10115,2024-12-29,Rejected
A10127,JS13405,Accountant,Finance,EMP10139,2024-08-19,Accepted
A10128,JS13237,Marketing Specialist,Marketing,EMP10373,2025-02-28,Accepted
A10129,JS15857,Brand Manager,Marketing,EMP10239,2024-05-18,Accepted
A10130,JS16760,Academic Counselor,Education,EMP10170,2024-07-11,Accepted
A10131,JS16857,Sales Associate,Retail,EMP10469,2024-11-09,Pending
A10132,JS16049,Investment Banker,Finance,EMP10083,2024-03-24,Rejected
A10133,JS15618,Merchandiser,Retail,EMP10461,2024-12-02,Rejected
A10134,JS19346,Medical Assistant,Healthcare,EMP10020,2024-10-22,Rejected
A10135,JS14385,Nurse,Healthcare,EMP10343,2024-08-06,Accepted
A10136,JS10204,Accountant,Finance,EMP10146,2024-11-04,Rejected
A10137,JS19415,Nurse,Healthcare,EMP10083,2024-07-05,Rejected
A10138,JS18879,Data Analyst,IT,EMP10454,2024-04-08,Rejected
A10139,JS10786,Sales Associate,Retail,EMP10164,2024-05-04,Rejected
A10140,JS17251,Data Analyst,IT,EMP10186,2024-06-02,Accepted
A10141,JS15842,Nurse,Healthcare,EMP10395,2024-07-12,Rejected
A10142,JS12157,Supply Chain Analyst,Manufacturing,EMP10039,2024-05-15,Rejected
A10143,JS18200,Sales Associate,Retail,EMP10207,2024-10-09,Rejected
A10144,JS19537,Brand Manager,Marketing,EMP10282,2024-10-02,Rejected
A10145,JS10656,Medical Assistant,Healthcare,EMP10426,2024-10-09,Accepted
A10146,JS14772,Academic Counselor,Education,EMP10084,2024-11-04,Accepted
A10147,JS13668,Marketing Specialist,Marketing,EMP10044,2024-10-23,Accepted
A10148,JS18118,Accountant,Finance,EMP10260,2024-11-28,Pending
A10149,JS11420,SEO Analyst,Marketing,EMP10393,2025-01-13,Accepted
A10150,JS11374,Medical Assistant,Healthcare,EMP10209,2025-01-24,Rejected
A10151,JS14139,Financial Analyst,Finance,EMP10339,2024-03-11,Rejected
A10152,JS13372,Sales Associate,Retail,EMP10041,2024-11-29,Rejected
A10153,JS14506,Brand Manager,Marketing,EMP10260,2024-10-09,Rejected
A10154,JS10598,Financial Analyst,Finance,EMP10104,2025-02-19,Accepted
A10155,JS12411,Teacher,Education,EMP10064,2024-09-26,Rejected
A10156,JS14661,Merchandiser,Retail,EMP10413,2024-12-31,Pending
A10157,JS17960,Financial Analyst,Finance,EMP10251,2025-01-01,Pending
A10158,JS11299,Supply Chain Analyst,Manufacturing,EMP10018,2024-09-28,Rejected
A10159,JS16972,Accountant,Finance,EMP10279,2025-03-09,Rejected
A10160,JS12375,Store Manager,Retail,EMP10172,2024-08-06,Accepted
A10161,JS16279,Supply Chain Analyst,Manufacturing,EMP10280,2025-01-01,Accepted
A10162,JS11660,Software Engineer,IT,EMP10010,2024-03-23,Rejected
A10163,JS14862,Financial Analyst,Finance,EMP10492,2024-10-01,Rejected
A10164,JS16262,Sales Associate,Retail,EMP10350,2024-04-06,Accepted
A10165,JS12992,Sales Associate,Retail,EMP10100,2024-04-15,Accepted
A10166,JS16055,Cybersecurity Specialist,IT,EMP10468,2025-02-17,Accepted
A10167,JS15303,Sales Associate,Retail,EMP10442,2025-02-21,Accepted
A10168,JS19946,Software Engineer,IT,EMP10042,2024-03-12,Accepted
A10169,JS15549,Financial Analyst,Finance,EMP10404,2024-09-05,Accepted
A10170,JS15021,Sales Associate,Retail,EMP10096,2024-04-18,Accepted
A10171,JS12319,Software Engineer,IT,EMP10207,2024-06-28,Accepted
A10172,JS13984,Teacher,Education,EMP10073,2024-10-28,Rejected
A10173,JS19041,Software Engineer,IT,EMP10292,2024-12-25,Rejected
A10174,JS13296,Brand Manager,Marketing,EMP10476,2024-05-17,Rejected
A10175,JS19280,Financial Analyst,Finance,EMP10302,2025-02-28,Rejected
A10176,JS16116,Production Manager,Manufacturing,EMP10058,2024-05-29,Accepted
A10177,JS11485,Accountant,Finance,EMP10236,2024-12-09,Rejected
A10178,JS12019,Librarian,Education,EMP10144,2024-08-13,Rejected
A10179,JS12319,Software Engineer,IT,EMP10444,2024-03-20,Rejected
A10180,JS15154,Investment Banker,Finance,EMP10481,2024-06-13,Rejected
A10181,JS19895,Brand Manager,Marketing,EMP10099,2025-01-07,Rejected
A10182,JS11709,Pharmacist,Healthcare,EMP10286,2024-08-18,Rejected
A10183,JS17946,Production Manager,Manufacturing,EMP10336,2024-09-25,Accepted
A10184,JS15902,Supply Chain Analyst,Manufacturing,EMP10353,2024-03-22,Accepted
A10185,JS14529,Cybersecurity Specialist,IT,EMP10365,2024-09-24,Rejected
A10186,JS19774,Pharmacist,Healthcare,EMP10116,2024-11-18,Rejected
A10187,JS16214,Investment Banker,Finance,EMP10149,2024-07-18,Rejected
A10188,JS16656,Financial Analyst,Finance,EMP10020,2024-10-13,Accepted
A10189,JS17855,Quality Engineer,Manufacturing,EMP10158,2024-11-23,Pending
A10190,JS19271,Cybersecurity Specialist,IT,EMP10196,2024-09-23,Rejected
A10191,JS16942,SEO Analyst,Marketing,EMP10095,2024-06-30,Accepted
A10192,JS14415,Librarian,Education,EMP10490,2024-06-20,Rejected
A10193,JS19402,Store Manager,Retail,EMP10379,2025-01-08,Rejected
A10194,JS19757,Accountant,Finance,EMP10058,2025-01-03,Accepted
A10195,JS14301,Financial Analyst,Finance,EMP10100,2024-06-24,Accepted
A10196,JS11225,Teacher,Education,EMP10458,2024-05-31,Rejected
A10197,JS17329,Nurse,Healthcare,EMP10467,2025-01-16,Rejected
A10198,JS19020,Investment Banker,Finance,EMP10467,2025-01-28,Rejected
A10199,JS16815,Teacher,Education,EMP10463,2024-09-16,Rejected
A10200,JS10109,Store Manager,Retail,EMP10315,2024-05-02,Accepted
A10201,JS11322,Store Manager,Retail,EMP10324,2025-01-07,Rejected
A10202,JS18113,Marketing Specialist,Marketing,EMP10279,2024-04-23,Rejected
A10203,JS16993,Pharmacist,Healthcare,EMP10054,2025-01-31,Accepted
A10204,JS14103,Marketing Specialist,Marketing,EMP10306,2024-05-27,Rejected
A10205,JS14438,Data Analyst,IT,EMP10043,2024-05-17,Rejected
A10206,JS13062,Investment Banker,Finance,EMP10420,2024-08-25,Pending
A10207,JS18572,Production Manager,Manufacturing,EMP10035,2025-02-07,Rejected
A10208,JS12200,Merchandiser,Retail,EMP10307,2025-01-11,Pending
A10209,JS10896,Investment Banker,Finance,EMP10136,2024-12-13,Accepted
A10210,JS11609,Software Engineer,IT,EMP10146,2024-12-12,Rejected
A10211,JS18581,Data Analyst,IT,EMP10011,2024-09-18,Accepted
A10212,JS15100,Nurse,Healthcare,EMP10468,2024-09-19,Rejected
A10213,JS13406,Sales Associate,Retail,EMP10271,2025-02-05,Pending
A10214,JS13567,Quality Engineer,Manufacturing,EMP10220,2024-08-19,Accepted
A10215,JS18458,Cybersecurity Specialist,IT,EMP10062,2024-06-01,Accepted
A10216,JS17540,Sales Associate,Retail,EMP10332,2025-02-09,Accepted
A10217,JS18536,Librarian,Education,EMP10031,2024-10-14,Rejected
A10218,JS10043,Accountant,Finance,EMP10147,2025-01-08,Rejected
A10219,JS13590,Academic Counselor,Education,EMP10493,2024-06-05,Pending
A10220,JS15029,Quality Engineer,Manufacturing,EMP10237,2025-01-06,Accepted
A10221,JS14333,Cybersecurity Specialist,IT,EMP10346,2024-04-08,Accepted
A10222,JS18171,Store Manager,Retail,EMP10474,2024-12-13,Pending
A10223,JS10121,SEO Analyst,Marketing,EMP10192,2024-10-25,Accepted
A10224,JS11422,Nurse,Healthcare,EMP10192,2024-04-09,Accepted
A10225,JS15987,Software Engineer,IT,EMP10128,2024-12-01,Pending
A10226,JS19779,Teacher,Education,EMP10130,2025-03-04,Rejected
A10227,JS13117,Librarian,Education,EMP10400,2024-09-22,Accepted
A10228,JS14570,Merchandiser,Retail,EMP10061,2024-04-01,Rejected
A10229,JS14939,Pharmacist,Healthcare,EMP10300,2025-01-16,Pending
A10230,JS16758,Merchandiser,Retail,EMP10112,2024-07-07,Rejected
A10231,JS18990,Librarian,Education,EMP10030,2024-06-09,Rejected
A10232,JS15976,Accountant,Finance,EMP10035,2024-09-26,Accepted
A10233,JS19198,Marketing Specialist,Marketing,EMP10206,2025-02-20,Rejected
A10234,JS17283,Data Analyst,IT,EMP10120,2024-07-04,Rejected
A10235,JS17599,Cybersecurity Specialist,IT,EMP10406,2024-12-07,Rejected
A10236,JS18861,Academic Counselor,Education,EMP10378,2024-06-12,Pending
A10237,JS11638,Accountant,Finance,EMP10153,2024-03-29,Rejected
A10238,JS12404,Software Engineer,IT,EMP10052,2025-01-04,Accepted
A10239,JS19134,Supply Chain Analyst,Manufacturing,EMP10200,2024-10-26,Rejected
A10240,JS15580,Store Manager,Retail,EMP10496,2024-09-09,Accepted
A10241,JS11562,Sales Associate,Retail,EMP10213,2024-10-18,Rejected
A10242,JS11443,SEO Analyst,Marketing,EMP10441,2024-09-16,Rejected
A10243,JS13154,Financial Analyst,Finance,EMP10032,2024-07-16,Rejected
A10244,JS13857,Quality Engineer,Manufacturing,EMP10202,2025-01-04,Accepted
A10245,JS10809,Store Manager,Retail,EMP10143,2024-08-03,Rejected
A10246,JS11064,Investment Banker,Finance,EMP10408,2024-09-26,Accepted
A10247,JS13590,Academic Counselor,Education,EMP10197,2024-12-14,Rejected
A10248,JS18701,Brand Manager,Marketing,EMP10328,2025-01-10,Pending
A10249,JS19812,Sales Associate,Retail,EMP10486,2024-06-20,Accepted
A10250,JS19405,Supply Chain Analyst,Manufacturing,EMP10087,2024-05-18,Rejected
A10251,JS17966,Software Engineer,IT,EMP10183,2024-04-25,Rejected
A10252,JS19718,Data Analyst,IT,EMP10007,2024-10-12,Rejected
A10253,JS16265,Nurse,Healthcare,EMP10208,2024-04-27,Rejected
A10254,JS12386,Marketing Specialist,Marketing,EMP10010,2024-10-12,Rejected
A10255,JS11467,Cybersecurity Specialist,IT,EMP10174,2024-12-30,Rejected
A10256,JS11302,Investment Banker,Finance,EMP10171,2024-03-23,Rejected
A10257,JS15575,Store Manager,Retail,EMP10194,2024-04-05,Accepted
A10258,JS10608,Accountant,Finance,EMP10429,2025-01-19,Rejected
A10259,JS12324,Financial Analyst,Finance,EMP10122,2024-10-01,Rejected
A10260,JS15772,Medical Assistant,Healthcare,EMP10457,2025-02-03,Accepted
A10261,JS18860,Financial Analyst,Finance,EMP10354,2024-12-26,Rejected
A10262,JS12688,Investment Banker,Finance,EMP10094,2024-09-10,Rejected
A10263,JS14182,Supply Chain Analyst,Manufacturing,EMP10137,2024-06-27,Rejected
A10264,JS11814,Investment Banker,Finance,EMP10135,2024-09-06,Pending
A10265,JS19063,Medical Assistant,Healthcare,EMP10105,2024-05-14,Rejected
A10266,JS14322,Medical Assistant,Healthcare,EMP10495,2024-10-29,Rejected
A10267,JS19414,Financial Analyst,Finance,EMP10173,2024-04-15,Rejected
A10268,JS10385,Academic Counselor,Education,EMP10262,2024-12-13,Accepted
A10269,JS18835,Pharmacist,Healthcare,EMP10158,2024-12-04,Rejected
A10270,JS13682,Marketing Specialist,Marketing,EMP10441,2025-02-19,Rejected
A10271,JS10763,Marketing Specialist,Marketing,EMP10196,2024-06-07,Rejected
A10272,JS13107,Production Manager,Manufacturing,EMP10284,2024-04-20,Accepted
A10273,JS13169,Production Manager,Manufacturing,EMP10421,2024-04-27,Accepted
A10274,JS15119,Accountant,Finance,EMP10108,2024-05-11,Rejected
A10275,JS18928,Nurse,Healthcare,EMP10106,2024-08-08,Accepted
A10276,JS10141,Pharmacist,Healthcare,EMP10452,2024-07-27,Rejected
A10277,JS10406,Production Manager,Manufacturing,EMP10280,2024-11-06,Accepted
A10278,JS11006,Academic Counselor,Education,EMP10396,2024-12-04,Accepted
A10279,JS10812,Medical Assistant,Healthcare,EMP10311,2024-08-29,Rejected
A10280,JS19764,SEO Analyst,Marketing,EMP10386,2024-07-09,Accepted
A10281,JS16972,Accountant,Finance,EMP10069,2024-08-08,Accepted
A10282,JS18610,Cybersecurity Specialist,IT,EMP10321,2024-03-13,Rejected
A10283,JS14346,Nurse,Healthcare,EMP10395,2024-06-03,Accepted
A10284,JS15519,Investment Banker,Finance,EMP10427,2024-04-02,Pending
A10285,JS13313,Cybersecurity Specialist,IT,EMP10048,2024-04-30,Rejected
A10286,JS16052,Store Manager,Retail,EMP10180,2024-12-02,Rejected
A10287,JS18787,Medical Assistant,Healthcare,EMP10043,2024-06-01,Rejected
A10288,JS18287,Quality Engineer,Manufacturing,EMP10184,2024-04-21,Accepted
A10289,JS15063,Supply Chain Analyst,Manufacturing,EMP10132,2024-05-01,Rejected
A10290,JS14770,Teacher,Education,EMP10290,2024-04-08,Rejected
A10291,JS19913,Merchandiser,Retail,EMP10013,2024-09-17,Rejected
A10292,JS17616,Brand Manager,Marketing,EMP10065,2024-10-01,Rejected
A10293,JS14506,Brand Manager,Marketing,EMP10472,2024-04-24,Rejected
A10294,JS19305,Supply Chain Analyst,Manufacturing,EMP10038,2024-08-31,Rejected
A10295,JS17168,Production Manager,Manufacturing,EMP10006,2025-01-10,Rejected
A10296,JS18307,Supply Chain Analyst,Manufacturing,EMP10159,2024-12-27,Accepted
A10297,JS11669,Academic Counselor,Education,EMP10389,2024-03-17,Pending
A10298,JS14555,Financial Analyst,Finance,EMP10338,2024-07-08,Rejected
A10299,JS17799,Academic Counselor,Education,EMP10161,2024-05-19,Accepted
A10300,JS12841,Merchandiser,Retail,EMP10454,2024-12-09,Accepted
A10301,JS17228,Accountant,Finance,EMP10453,2024-06-13,Accepted
A10302,JS19650,Academic Counselor,Education,EMP10039,2025-02-11,Rejected
A10303,JS13923,Sales Associate,Retail,EMP10404,2024-05-04,Accepted
A10304,JS10172,Merchandiser,Retail,EMP10009,2024-09-18,Rejected
A10305,JS13451,Store Manager,Retail,EMP10339,2025-02-06,Rejected
A10306,JS15444,Financial Analyst,Finance,EMP10092,2024-07-11,Rejected
A10307,JS19417,Supply Chain Analyst,Manufacturing,EMP10311,2024-10-01,Accepted
A10308,JS15278,Financial Analyst,Finance,EMP10172,2024-10-08,Rejected
A10309,JS17375,Quality Engineer,Manufacturing,EMP10167,2024-10-11,Accepted
A10310,JS16997,Sales Associate,Retail,EMP10399,2024-04-15,Accepted
A10311,JS17510,Teacher,Education,EMP10370,2025-02-12,Rejected
A10312,JS13005,Sales Associate,Retail,EMP10240,2024-04-10,Rejected
A10313,JS11944,Sales Associate,Retail,EMP10477,2024-10-04,Rejected
A10314,JS19544,Supply Chain Analyst,Manufacturing,EMP10321,2024-07-12,Rejected
A10315,JS13898,Cybersecurity Specialist,IT,EMP10223,2024-11-03,Rejected
A10316,JS18275,Medical Assistant,Healthcare,EMP10357,2025-01-20,Accepted
A10317,JS11635,Pharmacist,Healthcare,EMP10219,2024-05-14,Rejected
A10318,JS15185,Financial Analyst,Finance,EMP10298,2024-03-20,Rejected
A10319,JS19587,Librarian,Education,EMP10193,2024-08-18,Rejected
A10320,JS16615,Investment Banker,Finance,EMP10039,2024-06-03,Accepted
A10321,JS10713,Merchandiser,Retail,EMP10314,2024-03-20,Accepted
A10322,JS10607,Cybersecurity Specialist,IT,EMP10076,2025-02-06,Accepted
A10323,JS19155,Store Manager,Retail,EMP10133,2024-06-20,Pending
A10324,JS19092,Financial Analyst,Finance,EMP10228,2024-04-25,Rejected
A10325,JS13936,Cybersecurity Specialist,IT,EMP10013,2024-08-05,Pending
A10326,JS14524,Accountant,Finance,EMP10426,2024-07-22,Rejected
A10327,JS17814,Investment Banker,Finance,EMP10345,2024-04-30,Rejected
A10328,JS16288,Supply Chain Analyst,Manufacturing,EMP10283,2025-02-10,Rejected
A10329,JS10519,Investment Banker,Finance,EMP10125,2024-09-03,Accepted
A10330,JS14582,Store Manager,Retail,EMP10247,2024-05-15,Pending
A10331,JS11492,Medical Assistant,Healthcare,EMP10234,2025-02-14,Accepted
A10332,JS15223,Investment Banker,Finance,EMP10207,2024-08-11,Accepted
A10333,JS16906,Brand Manager,Marketing,EMP10430,2024-04-14,Pending
A10334,JS18485,Financial Analyst,Finance,EMP10436,2024-10-11,Rejected
A10335,JS19053,Academic Counselor,Education,EMP10095,2025-02-18,Accepted
A10336,JS15496,Cybersecurity Specialist,IT,EMP10456,2024-10-16,Accepted
A10337,JS18067,Nurse,Healthcare,EMP10026,2024-04-19,Rejected
A10338,JS12666,Medical Assistant,Healthcare,EMP10185,2024-03-14,Rejected
A10339,JS17181,Data Analyst,IT,EMP10230,2024-10-20,Rejected
A10340,JS13769,SEO Analyst,Marketing,EMP10158,2024-07-22,Rejected
A10341,JS18663,Brand Manager,Marketing,EMP10310,2024-06-06,Pending
A10342,JS11474,Supply Chain Analyst,Manufacturing,EMP10205,2024-04-17,Accepted
A10343,JS19865,Sales Associate,Retail,EMP10255,2025-03-08,Accepted
A10344,JS18173,Quality Engineer,Manufacturing,EMP10460,2024-03-27,Accepted
A10345,JS13648,Cybersecurity Specialist,IT,EMP10408,2024-03-18,Accepted
A10346,JS13046,Teacher,Education,EMP10272,2025-02-23,Accepted
A10347,JS18744,SEO Analyst,Marketing,EMP10243,2025-01-25,Rejected
A10348,JS12045,Librarian,Education,EMP10227,2024-04-06,Accepted
A10349,JS17352,Nurse,Healthcare,EMP10467,2024-09-05,Rejected
A10350,JS10142,Financial Analyst,Finance,EMP10199,2024-10-30,Rejected
A10351,JS17211,Nurse,Healthcare,EMP10310,2024-11-21,Rejected
A10352,JS11721,Accountant,Finance,EMP10080,2025-01-30,Accepted
A10353,JS12764,Cybersecurity Specialist,IT,EMP10076,2024-05-20,Rejected
A10354,JS13240,Sales Associate,Retail,EMP10367,2024-12-30,Rejected
A10355,JS12281,Investment Banker,Finance,EMP10479,2024-07-14,Accepted
A10356,JS11633,Librarian,Education,EMP10346,2024-04-05,Rejected
A10357,JS15058,Accountant,Finance,EMP10259,2024-06-06,Pending
A10358,JS11408,Teacher,Education,EMP10455,2024-08-12,Accepted
A10359,JS16545,Brand Manager,Marketing,EMP10463,2025-02-10,Rejected
