commission_id,transaction_id,employer_id,jobseeker_id,commission_percentage,commission_amount,commission_date
C10052,T11280,EMP10142,JS10533,8,3979.04,2025-03-02
C10053,T18636,EMP10332,JS15537,11,390.17,2024-10-07
C10054,T17636,EMP10072,JS11912,7,233.66,2024-10-13
C10055,T15180,EMP10108,JS17177,7,1762.95,2024-06-12
C10056,T13356,EMP10446,JS13462,9,1561.59,2025-02-18
C10057,T18465,EMP10481,JS11293,11,2850.65,2024-08-13
C10058,T17037,EMP10425,JS11245,9,370.35,2024-10-21
C10059,T14891,EMP10457,JS18162,8,168.8,2024-11-30
C10060,T18317,EMP10143,JS11107,9,881.91,2024-09-13
C10061,T17748,EMP10393,JS19845,6,505.08,2025-02-27
C10062,T17308,EMP10492,JS11302,7,81.13,2024-03-13
C10063,T15385,EMP10077,JS19773,9,84.51,2025-01-04
C10064,T14734,EMP10352,JS14023,7,2010.61,2024-11-28
C10065,T13117,EMP10208,JS18665,14,1251.74,2024-05-04
C10066,T18764,EMP10134,JS19283,5,166.55,2025-01-14
C10067,T18589,EMP10137,JS15776,12,390.12,2025-01-31
C10068,T12314,EMP10270,JS12953,10,117.6,2024-11-26
C10069,T18100,EMP10275,JS19024,9,108.27,2025-01-13
C10070,T18220,EMP10025,JS14622,7,416.64,2024-07-27
C10071,T12333,EMP10452,JS18224,7,1840.65,2024-09-01
C10072,T11186,EMP10222,JS18650,15,432,2024-11-02
C10073,T16200,EMP10443,JS18680,7,161.56,2025-02-16
C10074,T12293,EMP10212,JS19053,8,384.64,2024-07-11
C10075,T11866,EMP10116,JS12379,9,329.67,2024-06-12
C10076,T12396,EMP10040,JS18547,14,458.92,2025-01-08
C10077,T10978,EMP10410,JS19185,6,2703.06,2024-07-27
C10078,T15574,EMP10015,JS18875,8,1518.32,2024-08-22
C10079,T18711,EMP10316,JS11671,10,212.7,2024-07-09
C10080,T13772,EMP10056,JS19575,14,1274.28,2024-06-24
C10081,T13132,EMP10396,JS16955,9,211.95,2024-11-22
C10082,T16885,EMP10241,JS16621,6,183.54,2024-04-04
C10083,T18822,EMP10144,JS17202,8,119.76,2025-02-24
C10084,T11508,EMP10299,JS14513,12,2380.68,2024-04-06
C10085,T15371,EMP10262,JS17878,12,2556.72,2024-11-01
C10086,T18311,EMP10314,JS10328,15,676.5,2024-11-20
C10087,T15512,EMP10495,JS18505,6,2705.46,2024-11-30
C10088,T13377,EMP10155,JS12769,6,176.16,2024-05-23
C10089,T11119,EMP10344,JS13622,14,932.96,2024-07-24
C10090,T18415,EMP10372,JS19353,9,643.5,2024-07-02
C10091,T10301,EMP10288,JS14768,6,234.12,2025-02-27
C10092,T11165,EMP10019,JS18001,14,1178.24,2025-01-08
C10093,T17716,EMP10294,JS17682,6,221.52,2024-09-02
C10094,T16262,EMP10191,JS19040,5,169.25,2024-12-05
C10095,T10433,EMP10293,JS16860,15,434.55,2024-05-21
C10096,T15117,EMP10031,JS12442,6,452.82,2024-09-30
C10097,T12294,EMP10230,JS10358,6,516.72,2024-08-09
C10098,T12057,EMP10093,JS19941,9,338.22,2024-06-15
C10099,T10632,EMP10122,JS13221,10,415.1,2024-10-26
C10100,T15724,EMP10050,JS10476,11,166.98,2024-10-16
C10101,T10721,EMP10208,JS10426,6,223.32,2024-12-08
C10102,T16184,EMP10246,JS11828,10,1460.4,2024-08-10
C10103,T16889,EMP10390,JS11075,7,2526.37,2024-05-13
C10104,T17730,EMP10401,JS10838,10,213.6,2024-07-07
C10105,T18445,EMP10236,JS14693,6,1737.96,2025-01-18
C10106,T15367,EMP10073,JS18873,10,189.7,2024-03-17
C10107,T15042,EMP10358,JS10637,15,417.9,2024-11-23
C10108,T19144,EMP10233,JS18629,14,248.36,2024-05-10
C10109,T18408,EMP10266,JS13622,14,260.4,2024-06-08
C10110,T19719,EMP10355,JS13212,7,2757.58,2024-09-22
C10111,T14404,EMP10236,JS12602,10,215,2024-12-08
C10112,T16538,EMP10374,JS10813,14,5726.98,2024-06-20
C10113,T19020,EMP10278,JS11316,9,331.38,2024-11-07
C10114,T10189,EMP10246,JS16890,10,118.4,2024-05-05
C10115,T10445,EMP10189,JS14567,11,172.37,2024-04-02
C10116,T19705,EMP10382,JS14752,9,239.31,2024-06-06
C10117,T13811,EMP10468,JS15186,15,282.15,2024-04-07
C10118,T17586,EMP10398,JS13367,15,520.95,2024-09-11
C10119,T15187,EMP10320,JS16383,11,3536.39,2024-11-12
C10120,T11730,EMP10280,JS17773,11,444.29,2024-07-22
C10121,T19160,EMP10317,JS16984,14,4948.86,2024-11-07
C10122,T15211,EMP10424,JS16282,11,409.31,2024-04-09
C10123,T17975,EMP10187,JS10293,13,215.67,2024-06-20
C10124,T12228,EMP10381,JS18718,13,128.44,2024-07-13
C10125,T12285,EMP10451,JS17614,8,3485.52,2024-03-14
C10126,T10204,EMP10167,JS15712,10,304.8,2024-11-01
C10127,T10467,EMP10300,JS14891,11,748.11,2024-03-28
C10128,T13401,EMP10419,JS18955,11,5308.49,2024-10-30
C10129,T10748,EMP10259,JS15803,13,341.77,2024-11-15
C10130,T18229,EMP10464,JS13393,11,330.33,2024-03-20
C10131,T15194,EMP10467,JS17026,7,87.08,2024-11-20
C10132,T18090,EMP10015,JS18746,11,123.2,2024-05-24
C10133,T17867,EMP10162,JS17433,5,155.5,2024-11-07
C10134,T18264,EMP10124,JS12045,10,295.1,2024-11-28
C10135,T12656,EMP10335,JS15404,15,5253.75,2024-07-30
C10136,T11181,EMP10156,JS11122,10,443.2,2025-01-02
C10137,T10220,EMP10226,JS18189,8,152.48,2024-09-13
C10138,T12082,EMP10391,JS14814,15,1061.7,2024-05-03
C10139,T19500,EMP10487,JS17637,12,590.64,2024-09-29
C10140,T15039,EMP10421,JS13320,10,240.4,2025-02-21
C10141,T10894,EMP10494,JS14684,10,411.9,2024-08-04
C10142,T12128,EMP10409,JS11372,15,199.05,2024-11-05
C10143,T16211,EMP10321,JS15249,13,2495.22,2024-06-12
C10144,T10785,EMP10013,JS12974,14,254.94,2024-11-04
C10145,T10437,EMP10240,JS13421,8,110.24,2024-07-21
C10146,T12165,EMP10209,JS16612,13,578.11,2024-06-10
C10147,T15802,EMP10398,JS17520,10,1720.1,2024-10-20
C10148,T19154,EMP10370,JS14469,14,1098.02,2024-11-14
C10149,T17291,EMP10500,JS10659,9,157.59,2025-01-08
C10150,T15070,EMP10200,JS14397,5,240.95,2025-03-11
C10151,T14008,EMP10014,JS15380,7,303.24,2025-02-14
C10152,T15187,EMP10320,JS18942,14,4500.86,2025-01-28
C10153,T17391,EMP10450,JS19719,12,219.72,2024-04-14
C10154,T14384,EMP10138,JS19847,10,487.6,2024-03-20
C10155,T18010,EMP10460,JS10404,13,161.07,2024-08-06
C10156,T16027,EMP10354,JS18117,8,590.72,2025-02-04
C10157,T13076,EMP10285,JS14891,5,93.6,2024-12-14
C10158,T11922,EMP10393,JS18737,7,163.38,2024-09-13
C10159,T19070,EMP10228,JS15928,15,327,2024-06-06
C10160,T19394,EMP10354,JS19323,10,427.2,2024-06-04
C10161,T18869,EMP10344,JS15840,11,272.36,2024-06-01
C10162,T18209,EMP10326,JS19419,14,374.08,2025-03-03
C10163,T16140,EMP10246,JS13389,14,1211.28,2024-09-28
C10164,T18358,EMP10015,JS17064,9,888.75,2024-05-21
C10165,T17980,EMP10208,JS15987,7,2628.71,2024-08-30
C10166,T13449,EMP10426,JS12168,5,478.95,2024-08-07
C10167,T10081,EMP10413,JS18079,14,752.5,2024-07-13
C10168,T19050,EMP10007,JS18000,11,490.16,2025-01-23
C10169,T17934,EMP10452,JS14579,11,321.64,2024-06-03
C10170,T18391,EMP10451,JS16311,15,180.9,2024-12-31
C10171,T16781,EMP10209,JS12968,14,6563.76,2024-07-03
C10172,T11987,EMP10077,JS19903,5,886.2,2024-10-06
C10173,T12506,EMP10426,JS17806,9,168.21,2024-11-26
C10174,T14989,EMP10105,JS10271,11,403.81,2024-03-31
C10175,T15861,EMP10317,JS16700,5,1404.05,2025-02-07
C10176,T13574,EMP10174,JS14981,8,105.6,2024-05-19
C10177,T13284,EMP10361,JS15472,12,291.48,2024-12-04
C10178,T15659,EMP10477,JS11132,9,151.2,2024-07-05
C10179,T15409,EMP10077,JS13270,15,705.15,2024-10-20
C10180,T11498,EMP10392,JS14016,12,371.4,2024-08-09
C10181,T11308,EMP10290,JS16029,9,193.95,2024-08-09
C10182,T14725,EMP10019,JS17494,7,2226.91,2024-09-29
C10183,T16425,EMP10485,JS18588,9,444.78,2024-11-05
C10184,T10093,EMP10430,JS19397,7,69.3,2024-10-20
C10185,T17595,EMP10462,JS18268,11,873.18,2024-12-09
C10186,T18986,EMP10490,JS11317,7,1148.21,2024-05-16
C10187,T16380,EMP10132,JS17425,9,374.31,2024-06-10
C10188,T19236,EMP10120,JS10271,11,158.4,2024-10-13
C10189,T16737,EMP10075,JS10279,8,820.64,2024-07-29
C10190,T11025,EMP10227,JS18091,10,215,2024-10-09
C10191,T12264,EMP10348,JS19033,8,81.84,2024-07-23
C10192,T14650,EMP10356,JS15319,7,213.99,2024-12-17
C10193,T17682,EMP10498,JS12019,12,3283.08,2024-07-17
C10194,T17520,EMP10100,JS16151,8,147.28,2024-12-23
C10195,T13491,EMP10171,JS10637,12,2193.6,2024-05-20
C10196,T19279,EMP10453,JS12353,7,554.61,2024-03-21
C10197,T14064,EMP10100,JS12059,10,266.3,2024-04-08
C10198,T11335,EMP10207,JS18199,7,2033.43,2024-03-11
C10199,T18737,EMP10356,JS15999,9,212.31,2024-11-30
C10200,T16079,EMP10026,JS19984,15,342.9,2025-03-04
C10201,T15728,EMP10387,JS10839,7,105.7,2024-04-23
C10202,T11194,EMP10262,JS18556,14,6180.02,2024-11-12
C10203,T12307,EMP10094,JS16665,12,526.92,2024-12-07
C10204,T12910,EMP10304,JS14236,6,131.1,2025-02-24
C10205,T10981,EMP10223,JS18108,7,1312.71,2024-12-04
C10206,T13401,EMP10419,JS18955,6,2895.54,2025-03-05
C10207,T15336,EMP10021,JS10572,14,458.22,2025-01-20
C10208,T14781,EMP10045,JS18391,14,695.1,2024-11-30
C10209,T17063,EMP10453,JS19520,15,442.5,2024-07-30
C10210,T10016,EMP10252,JS19952,15,7114.5,2024-11-29
C10211,T13884,EMP10198,JS10235,5,115.35,2024-07-09
C10212,T10205,EMP10009,JS12076,15,307.35,2024-07-06
C10213,T13050,EMP10007,JS11297,7,273.14,2025-01-05
C10214,T20000,EMP10179,JS10772,15,542.55,2024-07-08
C10215,T19544,EMP10121,JS19242,12,309.6,2024-10-10
C10216,T19757,EMP10463,JS17112,9,192.69,2025-02-03
C10217,T19444,EMP10327,JS10648,5,60.15,2024-07-09
C10218,T10346,EMP10288,JS18097,9,180.63,2024-09-17
C10219,T19902,EMP10068,JS13298,5,227.4,2024-10-27
C10220,T19326,EMP10260,JS16353,8,3826.16,2024-05-04
C10221,T15060,EMP10223,JS14874,9,179.64,2024-03-12
C10222,T14008,EMP10014,JS14000,11,476.52,2024-08-31
C10223,T13180,EMP10316,JS18433,7,196.7,2024-06-24
C10224,T13930,EMP10326,JS14791,15,379.8,2024-04-02
C10225,T15353,EMP10046,JS15731,13,315.25,2024-07-31
C10226,T11716,EMP10389,JS11962,12,4915.56,2024-04-20
C10227,T10523,EMP10469,JS12787,13,632.32,2025-01-15
C10228,T11451,EMP10350,JS12227,8,193.36,2024-12-18
C10229,T12560,EMP10366,JS12443,13,5644.86,2025-01-24
C10230,T11748,EMP10360,JS15497,12,3654,2024-12-04
C10231,T11804,EMP10061,JS12245,13,389.74,2024-10-10
C10232,T16194,EMP10039,JS19440,6,1630.08,2025-02-06
C10233,T10918,EMP10106,JS11379,14,239.82,2024-09-08
C10234,T16617,EMP10238,JS14405,8,1805.68,2024-03-16
C10235,T14696,EMP10260,JS12848,15,704.4,2024-05-23
C10236,T18644,EMP10090,JS10527,10,348.8,2024-11-29
C10237,T11502,EMP10128,JS17962,11,482.24,2024-05-02
C10238,T11418,EMP10438,JS13437,7,542.5,2024-05-16
C10239,T16335,EMP10354,JS16229,14,169.12,2024-04-19
C10240,T19525,EMP10482,JS19870,13,219.96,2024-12-16
C10241,T19543,EMP10329,JS17796,8,163.76,2024-11-19
C10242,T12979,EMP10450,JS17664,12,573.24,2024-09-02
C10243,T17033,EMP10274,JS17999,14,197.82,2024-09-04
C10244,T16593,EMP10487,JS13596,8,142.72,2024-07-16
C10245,T17280,EMP10046,JS17902,14,311.08,2024-11-04
C10246,T15585,EMP10422,JS13158,9,195.12,2024-11-03
C10247,T10660,EMP10331,JS16233,11,719.95,2024-04-01
C10248,T19024,EMP10043,JS11986,11,144.98,2024-05-02
C10249,T14172,EMP10499,JS19216,9,193.68,2024-07-22
C10250,T18639,EMP10102,JS11935,12,140.76,2025-01-06
C10251,T13896,EMP10376,JS13380,6,579.78,2024-06-16
C10252,T16023,EMP10099,JS16028,13,315.12,2024-12-26
C10253,T15212,EMP10439,JS11054,7,198.45,2025-02-22
C10254,T15485,EMP10458,JS18415,7,245.14,2024-11-09
C10255,T10576,EMP10382,JS12995,13,5365.88,2024-10-28
C10256,T17866,EMP10428,JS15953,14,353.64,2025-03-10
C10257,T13101,EMP10348,JS19568,6,80.4,2024-10-02
C10258,T10815,EMP10347,JS19005,7,87.15,2024-06-12
C10259,T11050,EMP10094,JS17058,7,2247.35,2024-10-19
C10260,T11623,EMP10305,JS18132,8,3741.12,2024-04-08
C10261,T17751,EMP10339,JS15995,5,139.7,2024-03-21
C10262,T14824,EMP10171,JS18182,12,595.8,2024-05-31
C10263,T12646,EMP10314,JS15511,14,398.16,2024-05-18
C10264,T11152,EMP10402,JS10280,14,254.52,2024-03-13
C10265,T16081,EMP10483,JS14106,14,354.06,2024-12-04
C10266,T16926,EMP10250,JS19616,10,362.5,2024-06-25
C10267,T16932,EMP10389,JS17853,5,375.5,2024-04-21
C10268,T12636,EMP10254,JS12613,8,224.4,2024-12-16
C10269,T19983,EMP10149,JS13883,10,373.1,2024-03-31
C10270,T17207,EMP10202,JS18537,10,358.4,2024-06-08
C10271,T15014,EMP10113,JS16505,7,931.28,2024-11-14
C10272,T11780,EMP10271,JS15421,11,3058.99,2024-09-16
C10273,T12993,EMP10074,JS14720,9,406.26,2024-04-30
C10274,T18749,EMP10485,JS19883,8,151.92,2024-09-24
C10275,T15336,EMP10021,JS10572,14,458.22,2024-12-31
C10276,T10395,EMP10495,JS14880,15,275.7,2024-04-06
C10277,T10762,EMP10392,JS14521,9,201.06,2024-04-01
C10278,T15035,EMP10017,JS19822,13,1177.02,2024-05-08
C10279,T10859,EMP10370,JS14690,7,120.68,2025-02-27
C10280,T13454,EMP10300,JS13604,14,590.24,2024-12-28
C10281,T16217,EMP10318,JS19863,9,236.43,2025-02-16
C10282,T11505,EMP10250,JS13264,5,78.95,2024-10-29
C10283,T10130,EMP10439,JS15515,15,247.95,2024-09-03
C10284,T17195,EMP10124,JS18322,12,255.72,2024-05-16
C10285,T17682,EMP10498,JS12019,12,3283.08,2024-10-28
C10286,T16600,EMP10069,JS19324,6,173.46,2024-07-21
C10287,T14903,EMP10229,JS19583,15,374.4,2025-01-22
C10288,T19677,EMP10449,JS16476,12,5161.56,2025-01-28
C10289,T11074,EMP10312,JS16205,10,2240.7,2024-09-01
C10290,T11211,EMP10392,JS19088,11,251.9,2024-07-15
C10291,T13196,EMP10204,JS11056,6,172.26,2024-07-27
C10292,T15121,EMP10330,JS15230,10,299.6,2025-02-17
C10293,T13870,EMP10269,JS11451,5,191.5,2024-04-24
C10294,T19370,EMP10329,JS10312,9,1574.73,2024-05-10
C10295,T16282,EMP10155,JS11967,13,635.96,2024-08-25
C10296,T11016,EMP10437,JS17087,5,2457.25,2024-06-02
C10297,T14715,EMP10469,JS14202,5,126.2,2024-09-06
C10298,T10831,EMP10473,JS15193,9,322.2,2024-04-01
C10299,T12225,EMP10341,JS14627,9,199.26,2024-11-15
C10300,T18993,EMP10500,JS10083,6,252.06,2024-04-01
C10301,T12513,EMP10062,JS10895,5,111.9,2024-09-18
C10302,T17786,EMP10402,JS12094,15,570,2025-01-01
C10303,T18624,EMP10074,JS16628,10,647.2,2024-11-01
C10304,T15227,EMP10300,JS15701,5,120.45,2024-08-23
C10305,T13344,EMP10046,JS15928,9,216.81,2025-01-04
C10306,T14882,EMP10190,JS15331,8,220.56,2025-03-05
C10307,T16577,EMP10226,JS17177,10,249.9,2025-03-07
C10308,T15763,EMP10468,JS11342,11,477.84,2024-11-20
C10309,T16686,EMP10461,JS11060,10,1462.2,2024-12-25
C10310,T15502,EMP10059,JS16548,7,554.4,2024-06-01
C10311,T15484,EMP10090,JS13574,6,276,2024-05-30
C10312,T15756,EMP10239,JS11684,10,2416.3,2024-12-08
C10313,T17297,EMP10138,JS17332,12,244.44,2024-03-19
C10314,T16821,EMP10473,JS19840,7,471.17,2025-01-14
C10315,T16453,EMP10135,JS11448,13,70.72,2024-05-20
C10316,T15667,EMP10294,JS17995,15,5472.45,2024-05-11
C10317,T14297,EMP10254,JS10913,5,49.75,2024-07-24
C10318,T15454,EMP10241,JS18234,9,190.62,2024-04-20
C10319,T19065,EMP10263,JS12636,14,652.82,2024-09-08
C10320,T19152,EMP10142,JS15343,6,2512.08,2024-08-08
C10321,T14371,EMP10067,JS12734,15,429.75,2024-08-24
C10322,T10764,EMP10456,JS14824,11,177.43,2024-08-27
C10323,T15191,EMP10075,JS12034,6,92.58,2025-01-29
C10324,T19104,EMP10008,JS10610,15,766.65,2024-10-03
C10325,T17967,EMP10484,JS17592,7,187.53,2024-11-07
C10326,T15701,EMP10111,JS17085,5,184.25,2024-11-03
C10327,T14976,EMP10464,JS15590,14,304.78,2024-05-17
C10328,T18886,EMP10254,JS12725,12,159.24,2024-04-25
C10329,T14048,EMP10169,JS12059,10,109.2,2025-02-25
C10330,T11110,EMP10194,JS11192,6,2905.8,2024-05-13
C10331,T14342,EMP10367,JS14262,15,344.4,2024-09-16
C10332,T16465,EMP10272,JS12049,5,137.65,2024-06-29
C10333,T10268,EMP10154,JS12491,5,383.4,2024-08-20
C10334,T13165,EMP10386,JS15515,11,505.01,2024-05-12
C10335,T12952,EMP10396,JS17271,12,5139.96,2024-04-18
C10336,T11978,EMP10386,JS13226,5,817.25,2025-02-05
C10337,T18527,EMP10189,JS13624,12,1132.32,2024-05-30
C10338,T14545,EMP10403,JS14340,6,2598.66,2024-06-02
C10339,T14246,EMP10184,JS19259,5,413.25,2024-07-06
C10340,T16569,EMP10267,JS12919,6,280.86,2024-07-30
C10341,T11379,EMP10186,JS12771,11,544.61,2024-10-21
C10342,T16097,EMP10342,JS10422,5,207.55,2025-02-19
C10343,T19984,EMP10229,JS10374,10,290.3,2024-12-14
C10344,T17623,EMP10215,JS14802,15,170.55,2024-07-24
C10345,T16173,EMP10152,JS19416,5,2205.7,2024-10-15
C10346,T17413,EMP10225,JS10336,14,650.86,2024-05-18
C10347,T11429,EMP10127,JS18040,7,626.5,2024-11-14
C10348,T17334,EMP10227,JS18005,6,451.92,2024-11-07
C10349,T18179,EMP10239,JS12557,9,228.78,2024-07-31
C10350,T13054,EMP10301,JS19065,6,612,2024-08-12
C10351,T19481,EMP10062,JS12994,7,87.43,2025-03-09
C10352,T15611,EMP10112,JS17227,14,6561.24,2024-07-25
C10353,T14191,EMP10375,JS10227,11,398.97,2024-08-12
C10354,T10249,EMP10488,JS16108,13,261.82,2024-05-11
C10355,T19436,EMP10478,JS18358,6,92.76,2024-04-04
C10356,T13344,EMP10046,JS15928,6,144.54,2024-10-22
C10357,T18902,EMP10215,JS14037,12,1126.2,2024-05-16
C10358,T13310,EMP10068,JS14656,6,93,2024-10-29
C10359,T13162,EMP10331,JS12983,12,458.16,2025-03-09
C10360,T18612,EMP10336,JS16002,7,441.91,2024-12-17
C10361,T11740,EMP10476,JS17580,15,2950.05,2024-07-15
C10362,T10437,EMP10240,JS10962,14,192.92,2025-02-02
C10363,T16694,EMP10255,JS13692,13,1543.88,2024-10-29
C10364,T17665,EMP10494,JS15120,10,995.5,2024-03-23
C10365,T18131,EMP10097,JS11173,5,146.75,2024-10-23
C10366,T17679,EMP10068,JS14224,12,502.92,2025-02-22
C10367,T14939,EMP10403,JS11416,7,283.01,2024-12-21
C10368,T13694,EMP10315,JS17171,12,243,2024-10-17
C10369,T19347,EMP10148,JS16638,12,252.96,2024-07-07
C10370,T16872,EMP10315,JS19695,11,2441.56,2025-02-13
C10371,T17821,EMP10374,JS11159,7,3234.07,2024-07-04
C10372,T17952,EMP10447,JS13665,7,337.68,2024-04-09
C10373,T16382,EMP10184,JS16381,11,3100.57,2024-12-27
C10374,T13568,EMP10261,JS12214,5,84.95,2024-07-04
C10375,T12774,EMP10165,JS17335,12,541.56,2024-09-20
C10376,T13923,EMP10091,JS18133,9,211.5,2024-07-30
C10377,T17289,EMP10098,JS16030,13,324.22,2025-03-02
C10378,T14362,EMP10284,JS11595,7,377.79,2024-05-30
C10379,T16895,EMP10381,JS13020,7,183.96,2024-12-31
C10380,T18062,EMP10162,JS14909,11,2880.35,2024-08-28
C10381,T11458,EMP10475,JS16966,12,187.8,2024-08-24
C10382,T11361,EMP10377,JS17102,5,114.15,2025-02-02
C10383,T16425,EMP10485,JS15245,15,741.3,2024-05-26
C10384,T16202,EMP10421,JS14517,12,436.2,2024-12-29
C10385,T14955,EMP10083,JS18999,15,280.95,2024-09-02
C10386,T14370,EMP10448,JS15763,5,2172.25,2024-12-31
C10387,T10758,EMP10229,JS17261,6,79.68,2024-10-12
C10388,T13734,EMP10180,JS12007,10,139.5,2025-02-26
C10389,T18061,EMP10288,JS16927,13,265.85,2024-12-11
C10390,T10525,EMP10146,JS17521,15,172.05,2025-01-24
C10391,T17504,EMP10229,JS14212,13,496.73,2024-05-18
C10392,T19465,EMP10110,JS17045,6,2008.38,2024-07-24
C10393,T11161,EMP10237,JS12372,5,134.8,2024-08-20
C10394,T12253,EMP10093,JS19325,8,700.88,2025-03-09
C10395,T16639,EMP10478,JS19142,5,1590.35,2024-07-02
C10396,T18910,EMP10362,JS16239,13,79.95,2025-01-03
C10397,T16908,EMP10092,JS12158,14,377.16,2024-09-24
C10398,T19613,EMP10010,JS18012,11,1029.82,2024-07-26
C10399,T11480,EMP10384,JS15446,12,3054.72,2024-10-08
C10400,T14752,EMP10181,JS16503,15,175.8,2024-08-24
C10401,T13614,EMP10368,JS15309,11,245.52,2025-02-27
C10402,T12177,EMP10403,JS15073,6,162.6,2024-07-10
C10403,T19995,EMP10364,JS14954,15,2629.05,2024-09-20
C10404,T10715,EMP10322,JS17330,5,699.85,2024-08-27
C10405,T15718,EMP10268,JS12713,6,1413.66,2024-08-20
C10406,T10688,EMP10245,JS14960,10,118.7,2024-10-23
C10407,T11007,EMP10427,JS16468,12,4292.04,2024-07-28
C10408,T14185,EMP10300,JS15482,13,377.78,2025-02-23
C10409,T12082,EMP10391,JS17539,9,637.02,2024-11-23
C10410,T12798,EMP10054,JS11818,14,1322.72,2024-07-14
C10411,T14557,EMP10159,JS15925,12,336.24,2024-11-28
C10412,T12921,EMP10299,JS19816,7,388.36,2024-09-19
C10413,T17684,EMP10241,JS15752,13,5079.62,2024-09-15
C10414,T12729,EMP10418,JS10062,7,196.28,2024-12-16
C10415,T14790,EMP10168,JS18755,6,280.74,2024-03-12
C10416,T10339,EMP10105,JS14640,5,279.8,2024-07-13
C10417,T16541,EMP10484,JS12204,8,214.16,2024-04-25
C10418,T15374,EMP10054,JS12664,9,125.1,2024-10-14
C10419,T15010,EMP10044,JS18360,7,468.44,2024-08-15
C10420,T17909,EMP10074,JS13759,12,439.92,2025-02-08
C10421,T12019,EMP10167,JS10002,10,253.1,2024-07-30
C10422,T12430,EMP10271,JS18236,13,6306.17,2025-03-11
C10423,T14017,EMP10176,JS12823,12,444.48,2025-01-27
C10424,T14882,EMP10190,JS17589,10,275.7,2024-03-31
C10425,T11942,EMP10438,JS10617,12,443.52,2024-08-11
C10426,T16942,EMP10471,JS19836,9,250.65,2024-09-07
C10427,T11581,EMP10215,JS10647,12,91.68,2024-10-29
C10428,T10240,EMP10494,JS16871,7,697.97,2024-12-19
C10429,T11436,EMP10003,JS16197,10,203.6,2025-01-05
C10430,T15437,EMP10263,JS19385,9,4052.88,2024-10-22
C10431,T17404,EMP10206,JS12184,8,592.16,2024-08-18
C10432,T14597,EMP10368,JS15773,10,482.3,2025-03-04
